Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score
OLD88,3.33,100.0,51.67,0.0,51.67,51.67
OLD89,46.67,70.0,58.33,0.0,58.33,58.33
OLD90,53.33,56.67,55.0,0.0,55.0,55.0
OLD91,23.33,96.67,60.0,0.0,60.0,60.0
OLD92,23.33,90.0,56.67,0.0,56.67,56.67
OLD93,33.33,76.67,55.0,0.0,55.0,55.0
OLD94,46.67,66.67,56.67,0.0,56.67,56.67
OLD95,23.33,96.67,60.0,0.0,60.0,60.0
OLD96,23.33,86.67,55.0,0.0,55.0,55.0
OLD97,33.33,90.0,61.67,0.0,61.67,61.67
OLD98,46.67,73.33,60.0,0.0,60.0,60.0
OLD99,43.33,83.33,63.33,0.0,63.33,63.33
OLD100,33.33,86.67,60.0,0.0,60.0,60.0
OLD101,46.67,80.0,63.33,0.0,63.33,63.33
OLD102,43.33,76.67,60.0,0.0,60.0,60.0
OLD103,33.33,83.33,58.33,0.0,58.33,58.33
OLD104,46.67,80.0,63.33,0.0,63.33,63.33
OLD105,33.33,93.33,63.33,0.0,63.33,63.33
OLD106,46.67,83.33,65.0,0.0,65.0,65.0
