Model,Average TNR,Average TPR,Average Test Score,Standard Deviation,Max Test Score,Min Test Score,Average AUC,AUC STD,Max AUC,Min AUC
RBF60,87.04,90.0,88.52,2.12,90.0,83.33,0.93,0.01,0.96,0.91
RBF61,86.3,85.56,85.93,2.65,88.33,81.67,0.94,0.01,0.95,0.92
RBF62,78.52,87.41,82.96,1.39,85.0,81.67,0.92,0.02,0.95,0.89
RBF63,69.26,80.74,75.0,2.5,78.33,71.67,0.85,0.01,0.86,0.84
RBF64,67.78,85.93,76.85,1.0,78.33,75.0,0.86,0.0,0.87,0.86
RBF65,84.44,88.52,86.48,1.76,88.33,83.33,0.95,0.01,0.96,0.94
RBF66,95.56,89.63,92.59,1.21,93.33,90.0,0.95,0.01,0.96,0.95
RBF67,80.74,89.63,85.19,1.3,86.67,83.33,0.91,0.01,0.92,0.9
RBF68,87.04,7.04,47.04,0.73,48.33,46.67,0.51,0.01,0.53,0.49
RBF69,86.3,22.59,54.44,2.2,56.67,51.67,0.56,0.02,0.59,0.53
RBF70,78.52,32.59,55.56,0.83,56.67,55.0,0.59,0.01,0.6,0.59
RBF71,69.26,29.63,49.44,2.36,51.67,45.0,0.5,0.0,0.51,0.49
RBF72,67.78,35.19,51.48,1.94,55.0,48.33,0.56,0.0,0.56,0.55
RBF73,84.44,20.74,52.59,2.65,56.67,48.33,0.58,0.02,0.6,0.56
RBF74,95.56,18.52,57.04,1.11,58.33,55.0,0.53,0.02,0.55,0.5
RBF75,80.74,13.7,47.22,2.89,51.67,43.33,0.47,0.02,0.51,0.44
RBF76,87.04,34.07,60.56,3.23,65.0,56.67,0.74,0.02,0.77,0.71
RBF77,86.3,25.19,55.74,1.69,58.33,53.33,0.63,0.02,0.66,0.61
RBF78,78.52,30.74,54.63,1.11,56.67,53.33,0.59,0.01,0.6,0.57
RBF79,69.26,22.59,45.93,1.69,48.33,43.33,0.47,0.01,0.48,0.46
RBF80,67.78,21.48,44.63,1.11,46.67,43.33,0.5,0.0,0.51,0.5
RBF81,84.44,28.15,56.3,1.82,58.33,53.33,0.62,0.02,0.65,0.58
RBF82,95.56,23.33,59.44,2.36,61.67,56.67,0.52,0.03,0.57,0.48
RBF83,80.74,21.48,51.11,1.18,53.33,50.0,0.5,0.04,0.54,0.44
RBF84,78.52,22.59,50.56,2.2,53.33,48.33,0.55,0.01,0.56,0.53
RBF85,69.26,17.41,43.33,1.44,45.0,41.67,0.5,0.0,0.5,0.49
RBF86,67.78,42.59,55.19,1.0,56.67,53.33,0.57,0.01,0.59,0.55
RBF87,84.44,15.19,49.81,3.27,55.0,46.67,0.54,0.01,0.55,0.53
RBF88,95.56,10.37,52.96,2.0,56.67,50.0,0.42,0.03,0.47,0.36
RBF89,80.74,15.93,48.33,1.44,50.0,46.67,0.49,0.02,0.52,0.46
RBF90,69.26,51.48,60.37,2.86,66.67,56.67,0.67,0.01,0.68,0.66
RBF91,67.78,30.37,49.07,2.06,51.67,46.67,0.57,0.01,0.59,0.56
RBF92,84.44,26.3,55.37,1.82,56.67,51.67,0.61,0.01,0.63,0.6
RBF93,95.56,19.26,57.41,2.65,63.33,55.0,0.62,0.02,0.65,0.58
RBF94,80.74,10.37,45.56,1.44,46.67,43.33,0.46,0.04,0.5,0.4
RBF95,67.78,55.19,61.48,4.52,66.67,55.0,0.69,0.01,0.7,0.67
RBF96,84.44,16.3,50.37,2.0,53.33,46.67,0.53,0.02,0.57,0.5
RBF97,95.56,13.33,54.44,1.67,56.67,53.33,0.56,0.02,0.59,0.53
RBF98,80.74,17.78,49.26,1.47,51.67,46.67,0.49,0.05,0.56,0.42
RBF99,84.44,19.63,52.04,2.32,55.0,48.33,0.56,0.02,0.59,0.52
RBF100,95.56,17.04,56.3,2.47,61.67,53.33,0.61,0.04,0.69,0.56
RBF101,80.74,21.48,51.11,1.44,53.33,50.0,0.53,0.02,0.56,0.49
RBF102,84.44,33.33,58.89,2.2,61.67,56.67,0.69,0.02,0.72,0.65
RBF103,95.56,16.3,55.93,4.26,65.0,53.33,0.63,0.05,0.71,0.56
RBF104,80.74,14.81,47.78,1.18,50.0,46.67,0.48,0.03,0.53,0.44
RBF105,95.56,40.74,68.15,3.95,73.33,65.0,0.74,0.06,0.84,0.69
RBF106,80.74,25.93,53.33,2.36,58.33,50.0,0.56,0.03,0.61,0.52
LINEAR1,92.22,12.96,52.59,1.21,55.0,51.67,0.69,0.02,0.71,0.67
LINEAR2,92.22,80.37,86.3,2.32,88.33,83.33,0.96,0.0,0.96,0.95
LINEAR3,100.0,3.33,51.67,0.0,51.67,51.67,0.78,0.03,0.82,0.76
LINEAR4,92.22,77.04,84.63,1.39,86.67,83.33,0.95,0.01,0.96,0.94
LINEAR5,100.0,15.93,57.96,3.2,61.67,55.0,0.92,0.0,0.93,0.92
LINEAR6,100.0,4.81,52.41,0.88,53.33,51.67,0.8,0.01,0.81,0.78
LINEAR7,92.22,98.15,95.19,1.0,96.67,93.33,1.0,0.0,1.0,1.0
LINEAR8,100.0,64.07,82.04,0.73,83.33,81.67,0.99,0.0,0.99,0.98
LINEAR9,100.0,31.11,65.56,1.18,66.67,63.33,0.94,0.01,0.96,0.93
LINEAR10,92.22,19.63,55.93,3.24,61.67,53.33,0.9,0.0,0.9,0.89
LINEAR11,93.7,23.7,58.7,2.98,61.67,55.0,0.83,0.01,0.84,0.83
LINEAR12,92.22,100.0,96.11,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR13,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR14,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR15,92.22,100.0,96.11,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR16,93.7,100.0,96.85,1.76,98.33,95.0,1.0,0.0,1.0,1.0
LINEAR17,60.37,100.0,80.19,8.27,90.0,70.0,0.96,0.01,0.97,0.95
LINEAR18,92.22,100.0,96.11,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR19,100.0,96.67,98.33,0.0,98.33,98.33,1.0,0.0,1.0,0.99
LINEAR20,100.0,100.0,100.0,0.0,100.0,100.0,1.0,0.0,1.0,1.0
LINEAR21,92.22,100.0,96.11,0.83,96.67,95.0,1.0,0.0,1.0,1.0
LINEAR22,93.7,100.0,96.85,1.76,98.33,95.0,1.0,0.0,1.0,1.0
LINEAR23,60.37,100.0,80.19,8.27,90.0,70.0,1.0,0.0,1.0,1.0
LINEAR24,92.22,96.67,94.44,0.83,95.0,93.33,0.99,0.01,0.99,0.98
